Source,y_var,X_num1,X_num2,X_num3,X_num4,X_num5,X_cat1,X_cat2,X_cat3,X_cat4,X_cat5
study 103,A,-0.5228201047178223,5.158515599510947,4.112459619697162,4.511557765761321,5.98536181844101,A,A,B,A,B
study 70,A,1.0614801846639128,0.7484537315059747,3.646681446146114,1.5530882566477526,3.496124615383926,B,B,B,C,A
study 72,B,2.2442108938471996,3.7571395216458083,2.0470625929708652,3.3947904100104926,4.935727916606917,B,B,B,B,A
study 27,A,-0.6104435090031721,2.5255126688425955,3.8324102993510056,4.756151611721268,5.2796913127034895,C,B,A,B,B
study 9,A,1.5464101087066582,2.446784141309032,0.8271152962256378,5.186720067268795,4.643269073590853,C,B,B,B,A
study 62,A,-0.24355618752981179,2.0810310890712347,4.545360319305413,5.008538813325252,2.398455762119789,B,B,A,B,A
study 37,B,1.3025508398748205,4.019998734255181,2.4995631723089247,4.479600871710821,9.153038072388581,A,B,B,C,B
study 97,A,2.2903063630307265,2.395777551610902,1.756608580492657,2.3210900271287622,6.253743856742338,A,A,A,C,B
study 51,B,-2.194269611165062,-0.2866230071814657,2.0674476656416685,5.470912532300137,5.630876070530594,C,A,A,A,B
study 106,B,-0.6717137403070184,3.8292553530683677,2.6527725209996813,2.355397953242333,6.970828431520969,B,B,B,B,B
study 44,A,0.4465308323351169,3.554302748197583,2.9819818900508053,5.641863730681488,5.966288316558262,B,B,A,A,B
study 24,A,1.472560733772423,2.8807065263192713,3.0724204205991104,4.941557136222558,3.9841956798804494,A,B,A,C,A
study 79,A,0.7504250059625143,0.3072895553786801,2.355588834062814,6.038352272109307,6.874674136726535,A,A,A,B,B
study 59,A,0.9311788270286216,0.5403269596680196,3.3003593601922185,4.037302726024445,6.278324009867022,A,B,A,C,B
study 118,B,4.064476788026885,-0.8161643278541635,3.0124189115001507,2.7718538391834686,4.041071274028912,C,B,B,A,B
study 32,B,-0.8186859182738413,2.6904948097697208,2.0286405066384017,2.061021213761125,6.1850220024275675,B,B,A,C,B
study 96,A,2.7032275245441557,-0.024323272261554507,1.802714063368104,2.2276309981406106,4.6391449517358785,C,A,B,B,B
study 88,A,0.4750328092683749,-0.578126339293247,3.9125483143422564,1.5448378770894804,5.312717299697919,B,B,A,B,A
study 105,A,1.8242121887481013,3.912483678950066,3.786489053996858,5.413004375404848,5.899475700369839,C,A,B,A,B
study 52,B,4.1934198336184,3.15226934669427,3.085704532741895,5.601125429548599,7.05274655195744,B,A,B,B,A
study 113,A,2.0330170355281387,1.5002425027536095,4.386293198985302,4.830549887885272,4.031006022309419,A,B,B,C,B
study 62,A,1.5587435646849999,1.798930125114207,0.05800851574854837,3.9504386318900817,5.547443270978395,A,A,A,C,B
study 113,B,3.3986835027240634,-1.6110163104759132,2.153408037739945,7.091439154693768,8.023589339346794,A,A,B,C,B
study 58,B,2.6871979668897876,3.3751173785888304,1.2655243314980336,3.8527772755539886,4.735928755959573,C,A,B,C,A
study 52,A,-0.1990911142421532,0.9609028032669737,6.3844083977067765,4.33137521221584,5.294835166549373,A,B,A,A,B
study 12,B,1.4417871136807834,2.495436294699711,4.0698297305939795,3.928222730006321,8.021345711716982,B,A,B,C,B
study 39,B,-1.5762436012111394,-1.7328433926872258,2.881407024512586,3.4925379003048285,5.9562162079236565,C,B,A,A,B
study 2,A,0.18976991743862337,3.4663520482423187,4.177485868269234,4.946461734746647,2.789029581258326,B,B,A,C,B
study 3,A,1.4710794513997891,0.8707328459214139,4.674413495632672,3.0497549661932153,3.8067835217684527,C,B,B,A,B
study 113,A,0.09684197082811186,-0.0640633956840313,4.658447537286106,2.94913326022804,6.034368821548164,B,A,A,C,B
study 101,A,1.410050118957887,1.4905975482674494,4.3825552276505295,5.022204078114031,5.634507361835713,B,B,A,C,B
study 113,B,0.9799230765204415,1.1054071730967725,2.6061895150769074,3.253587450156491,5.24386980010823,C,A,A,A,A
study 56,B,1.8046250985925643,3.6114014193647996,2.247951870774072,4.200223042112769,8.241836274749698,C,A,B,B,B
study 81,A,0.3637014669578337,1.3694073164575593,1.5567162300289723,3.4880078203547096,4.073769265762408,A,A,A,B,B
study 59,A,-0.41022337165506984,4.0439255399200515,3.753670900093511,3.982673052660028,4.888379264851946,A,A,A,B,B
study 113,A,3.2171902392598914,2.4952139236836097,2.7615963970068282,2.990066322300064,2.055334685842647,B,B,A,A,A
study 2,A,0.25645488596508326,3.3415518308185623,2.3722934542242062,3.03911687087636,6.740989833201458,B,B,B,B,A
study 2,B,1.9900158896756772,1.9967503201581704,2.2940079574082963,2.770401817284573,3.80172154840613,B,A,A,B,B
study 92,A,3.152870539708804,3.9080884735098245,5.175288945952032,5.264995164792177,6.585705153201394,C,B,B,A,A
study 54,A,1.244004998496298,0.2695640145759861,4.4290206192625075,4.257827251376995,6.428045197155952,C,B,A,B,B
study 87,A,-0.2844598541647241,2.1704366862414903,5.745590784192248,5.377826235690497,8.523648888181668,A,B,B,B,B
study 101,B,0.7320850381789833,1.4053462558528778,3.793524449838163,5.5380798468159425,5.973913364796818,B,A,B,B,A
study 96,A,2.5263113749101294,4.094942719260968,3.0854316603823473,3.31012850929649,4.465870063519837,A,B,B,A,B
study 97,B,1.3093713186067943,4.248551606989139,2.9618963238826126,5.3223774765828455,5.680434439995638,C,A,A,A,A
study 1,A,-0.8077126883064154,2.0006318888556778,1.4695476791077906,3.9788189170998507,3.8611207282571183,C,B,A,B,A
study 19,B,1.8949657503005684,0.0627333483562924,1.107871512372899,3.761989741781122,5.4787402662633635,C,A,A,B,A
study 2,B,2.1542972035764976,2.6406459751875015,3.761011532839312,5.878550644991163,4.698646241686442,A,A,B,A,B
study 53,A,0.46703217082309945,-0.4969146025506497,1.5979819342751178,4.830652694223148,4.894492325492193,C,A,A,B,B
study 44,A,1.9153665634071189,4.439214198174668,3.3171866308008537,3.4713636174044087,3.6524502681086544,B,B,A,A,B
study 90,B,1.367527893190701,1.2902448940459421,4.673200024642817,4.7331899732899725,5.4506690896441645,A,A,B,B,B
study 32,B,0.7038556920369412,1.9541447548737572,2.0018191004536554,2.101431021745616,6.2363450385291035,C,B,A,A,B
study 70,A,-0.9403036153904956,0.9785733862898689,6.015722451887367,4.370969471709425,2.5218548079924092,A,A,A,C,B
study 32,A,2.6169308426586366,0.647327619948769,1.5139573185838509,1.7506126737127246,3.967111020102294,A,B,B,C,B
study 119,B,2.13881649987975,3.1059369748205783,4.4852921347347685,2.5234005611977253,5.252070753770406,C,A,B,A,A
study 68,A,1.8758294415629688,1.7620749844230177,3.6371342716985433,4.876959547403679,1.4790250381798788,C,B,A,C,B
study 55,A,3.3167890055171405,2.0637238083847627,4.791142874919227,-0.005368996140214577,7.610396650569378,A,A,B,B,B
study 75,B,2.4177905905203905,0.49416338117174097,1.3257035829604655,6.703767788612133,3.933333778170417,A,A,A,A,B
study 56,A,2.029849009227344,3.2840888352455595,6.460531375430416,5.251739081056902,3.5928687218623576,C,A,A,A,A
study 17,A,-2.319841022040247,3.4366846027053004,2.7318373743256417,1.242200316265393,4.688986585614817,B,B,A,B,A
study 38,A,2.7953424277036234,1.686607269680634,4.014971908948922,7.597747910039844,5.206059258197335,A,A,A,B,A
study 24,A,1.124620771423076,3.901883199997831,5.1667312334197515,8.011155838729026,3.8652906530714937,A,A,A,A,B
study 69,A,1.4687375203857078,1.8438137686632161,2.0930068987571766,3.7292625115153926,6.47062049898339,B,A,B,B,A
study 116,B,1.4789997845400786,3.169633244433231,4.238589544420768,2.6102664029496347,5.599559809161835,C,A,B,A,A
study 98,A,2.1607491154634193,-0.4343913712451464,1.842795532167761,6.529455361304296,3.7441371595919666,C,B,A,B,B
study 70,A,2.683262543202528,2.5301462997296187,5.095442370686759,3.4843147938396113,4.216392324616443,B,A,B,A,B
study 86,A,1.9513617145888333,1.592777798589598,1.8597289031568993,4.241559261719281,2.7248454554145214,C,A,B,B,B
study 11,A,1.7129283839798373,2.233283638932494,3.0577604737436386,5.8259346008841515,3.119988656697746,C,B,A,B,A
study 112,B,1.3472691089433573,2.1660236084837394,3.45918105151794,3.769732804310205,5.581397492318542,A,B,B,C,B
study 16,A,-4.027415775357017,2.188549733265476,4.176449654583923,3.6384186245249976,3.759703165895257,A,B,B,C,B
study 97,A,0.5686134708247177,2.92355109404383,5.952714462639817,2.091407534192172,7.706426679573639,A,A,A,C,B
study 73,B,-0.4123842760259684,1.1522395525910318,2.3220465155782657,3.054185356392977,5.106384800463713,B,B,A,B,B
study 59,A,2.8161093084086275,2.8536188893034646,4.70810216141041,3.6088452306158976,2.9707648623440073,C,B,A,A,B
study 70,A,1.9285557974294405,3.84878732467686,5.955387672951206,2.1421552164479993,3.284979070898656,C,B,A,B,B
study 80,A,0.3127945191793986,-0.11521150747048514,3.248600041297376,2.2780962726859335,6.579454542022142,A,A,A,C,A
study 93,A,0.4634242265961336,0.8291898526560115,2.174800874819563,4.050401974965984,4.885229596086388,A,A,A,B,B
study 3,A,0.409027955046368,0.8921968617482208,0.4049493908470625,1.2254437814920598,6.487992239836454,B,A,A,C,A
study 20,A,0.3822607685216204,0.36193130082356095,5.824913651116594,2.6812554765680026,4.450268029882902,C,B,B,C,A
study 59,B,-1.166836165287196,1.2879533455444117,2.6333335051134545,6.916890990395533,4.159651861244734,B,A,A,A,B
study 36,A,-1.4919192399166517,3.5496777730997606,1.4979622511541733,3.4817970292898917,6.679171056551578,C,B,B,A,A
study 19,A,1.043570158572616,4.171380386768643,0.9625048736853561,3.293914887694223,3.712133934457111,B,B,B,C,A
study 90,B,2.612971209039032,2.1592624546197534,1.495178714414938,3.4750812482277396,5.733581200055543,A,B,A,C,A
study 67,A,0.1934654538582059,1.5136459837276992,4.379557939840748,3.498771427818501,4.682324584397948,B,A,B,B,B
study 19,B,1.4551671263860677,3.2043859536209904,4.586802791512107,4.862303304757575,6.318085120063662,B,B,B,C,A
study 20,A,2.101391375765088,-1.5459527413782697,3.9781828071833045,4.757299229766701,7.7277259813037,A,B,B,B,A
study 96,A,-0.49006730837578494,0.41723229184526245,3.1985067410300467,3.4138623804032195,4.411733475198487,C,A,A,C,A
study 71,B,0.9700368569201454,-1.482445610049873,1.1317191157479964,3.6792438652930866,4.179286791805316,C,B,B,A,A
study 52,A,0.00021927808972743712,0.4014504239668373,1.9050885811469287,5.969159676985089,5.998712583556033,A,B,B,A,B
study 105,A,3.4091792377469408,0.8494737096469998,1.3400708839780868,1.734542868294625,3.376994607195398,B,B,A,C,B
study 33,A,3.3436892602931714,4.216522816906517,3.8592315082893975,3.913626975176918,7.424698186775053,B,A,B,B,A
study 40,A,-0.48851425981227603,-2.141592949233985,1.4050312817074435,4.202869810526848,7.16903382508471,B,B,B,B,B
study 39,B,1.5788265746264887,1.3749460996484992,1.9286308334196112,2.834975709851327,3.5013205412593544,C,A,B,B,B
study 82,A,2.6013989512187354,2.9293497082671607,2.7247691355022394,3.8272950947630537,2.6253127708896407,B,A,B,C,A
study 104,A,2.272494250564495,2.61609599490364,0.4952997703554791,2.632485308797175,3.2591342707156734,C,B,B,C,B
study 1,A,1.1223445524765483,4.192607200302341,3.07015714626127,4.955753606052255,3.281945540061323,B,B,A,A,B
study 11,B,2.9598361926465215,2.241577217894883,2.8392706784466952,1.9926900167434312,6.202640846532464,A,B,B,A,A
study 92,A,-0.3567720334841491,2.5614172707217175,4.776313718942536,5.593500493630089,7.323755473669105,A,B,A,C,A
study 57,B,0.5453605834079616,-0.7577602477038257,1.770201682449372,3.890042264365664,6.185189318928236,C,A,B,A,B
study 89,A,-0.3164636296393626,0.5175967127347867,1.0512067225314965,3.3279492108494337,4.645711675075314,C,A,A,B,B
study 50,B,2.1737402420509326,-0.6740571151720354,2.438910525613073,2.4929543505185894,5.513747700365621,A,B,A,B,B
study 23,B,0.12604468855082263,2.8589121618711495,1.3528630598459759,5.545986693981197,3.695332950792447,A,A,A,C,B
study 31,B,0.7431262368443715,2.523035677635869,3.058731887719687,3.0222067989490613,6.645812068346348,B,B,B,B,A
study 94,B,1.926505552398623,2.470306950925273,0.2100977072600907,2.2491271607582757,5.648043409973799,A,B,B,C,A
study 42,A,2.047374870666724,0.6778495873128887,2.091981894934078,5.577194978512178,6.159796673024695,C,B,B,B,A
study 99,A,-0.3606895193828761,0.5405753310250019,1.6074424952666704,2.6435412797580122,3.9086964472103367,A,B,B,C,A
study 7,A,2.5849829256591885,2.314170398444626,3.851635615629103,3.858276528783269,4.747104219697031,C,A,B,B,A
study 16,A,1.6835345030008768,0.9959209208432978,1.784152935561952,5.228205663605895,6.0876097099718045,C,A,A,B,B
study 90,A,-0.6225542593706019,0.46939315425164496,0.3958563621022515,4.236936404171431,7.165269349285422,B,B,A,A,B
study 112,A,-0.9915738436349193,1.2374159431128975,2.6972698545981775,6.59627731880496,4.087850360827122,B,B,A,A,A
study 116,A,0.9762704346068984,1.0088869459470375,3.4798292104117636,2.747574447568484,6.170677860756229,B,A,B,A,A
study 60,A,2.2751409839752132,0.6999155380573201,2.5931922101089113,3.6842329951003885,3.931892305084574,B,A,B,A,A
study 113,B,2.31357379360147,0.16134827486359704,2.0830158311713385,3.800232789598477,8.175790659239913,A,A,A,A,B
study 2,A,1.5342503158372638,2.67303465250836,1.9926568491236059,4.931852428860993,4.377762937591206,B,B,B,A,B
study 1,B,1.0730122574902388,4.334074159215586,3.169422048663051,5.93293469175714,5.965257761078167,A,A,B,C,B
study 48,B,1.7676065036185078,1.9414936990720193,1.6658268761406778,4.110424764443046,5.248414422850449,B,B,A,C,A
study 12,B,-0.28299577158388756,2.333651205454892,2.5072755428841993,3.7935042544595734,8.90795468204074,B,B,A,A,A
study 69,B,3.530481794538087,2.8045667789025552,4.1256698563310605,1.775512198255202,5.344852412036846,C,A,B,C,A
study 37,B,3.510907627183781,2.549848635789683,1.048015381641532,4.168571784695042,4.227415965514808,A,B,B,A,A
study 32,B,1.6432184719310465,0.7296315075245312,2.934499470389592,3.0245499850053195,5.959259768919594,C,A,A,C,A
study 119,B,1.295950629989278,4.579769316653878,0.3165158808044928,4.927654465898154,5.925861300163059,B,B,B,B,B
study 9,A,0.3828685410109446,0.8640342294830587,3.3418945050149294,3.3854737161729576,4.763795204361587,A,B,A,C,A
study 105,A,1.7931232686994913,2.972132546990614,1.5317861838014082,3.6390429184448934,3.3578512036578374,B,B,A,C,B
study 99,A,-0.03697605652516511,2.7952869610143676,4.529387719546193,1.8095979781246454,4.208001707914465,C,B,A,C,B
study 19,A,-2.335418046493296,-0.9376623132019564,0.7845790355319764,1.282821874356192,6.322248422217379,A,B,B,B,B
study 48,B,-3.0711609507366298,1.461730374630621,3.6631185552015118,6.791480560275417,2.3788265806490556,C,B,A,A,B
study 80,B,-0.19924749974522982,2.0849426777182556,4.83169661778974,4.194525864347914,4.62793115092143,B,A,A,C,B
study 3,B,1.2345671843774164,2.199726817136429,1.453965897869297,4.606503216445913,6.492295882725175,B,A,B,C,A
study 20,A,1.4979576009302242,2.4521307732751505,1.7071726065075905,2.6315575552258705,4.859755671499928,B,B,A,B,A
study 24,B,0.2698644872360726,3.1364943094099638,1.5837065334351037,5.313285410767919,8.260565209329116,A,A,B,A,A
study 54,B,1.212752750714355,1.9887269535938328,2.271205967393544,5.0427098438565405,2.3830246395520214,C,B,B,C,B
study 120,B,0.5886574644182034,2.531926352026916,3.7761326987841985,2.7963592083657858,3.557948196620849,C,A,B,B,B
study 33,B,-0.498969136475206,1.9325681198414255,2.1487425991693145,2.41074184623192,1.528049296620818,B,A,A,A,B
study 24,B,0.9193832365463123,0.47399951486783976,1.3185626621904645,2.901208474259091,7.990535850117949,C,B,A,A,B
study 116,A,2.219435668548474,2.048602162054511,-0.028130559874935734,3.957576026939332,3.5825192738725544,A,A,B,C,B
study 75,B,-0.4310926216194835,3.1236347663796042,5.402921259768594,4.250660504710338,2.0196180324075006,B,B,B,C,B
study 113,A,-0.430406919529547,3.6631825737130477,5.520743445621972,4.057591012357976,4.082121028361848,B,A,B,C,A
study 72,A,-0.6038758909282373,2.805973486316306,3.840355559232685,5.948095162960306,2.910786337717295,B,B,A,C,B
study 36,B,-1.9047781017621737,4.001525488923949,1.7844244583625228,2.9275647248559125,4.092822664541896,A,A,B,B,B
study 38,A,0.2796964387794719,2.6282971211134707,4.12155317269747,2.3700070134566205,5.061843876417355,B,B,B,B,A
study 104,B,2.0711291694287963,3.2958197325032557,4.423060376239599,4.000148532777731,6.207381656070651,B,A,B,C,B
study 84,A,1.260874125750644,3.406086723919679,2.6186278028808996,1.460372776253581,4.737996589833593,B,B,A,A,A
study 99,B,0.7461236739155401,1.6649741886743965,3.0620528159983356,5.043606247765927,5.037936049002014,B,A,B,C,A
study 112,A,1.1935971973602533,3.089005148851503,4.8476523442342385,4.1469448967141895,4.127607165394804,C,B,A,A,A
study 89,B,0.26652776885626284,0.5890326535386288,0.5393079644153875,3.492942938635081,2.7324526591255114,B,A,A,A,B
study 99,B,-1.921829955895208,2.5247185138232955,4.497634234683261,3.4096706901262914,2.230189635551148,A,B,B,A,A
study 25,A,2.1755781727218486,2.8655387400026795,2.5362692829652302,5.364993673181849,4.4532713294954585,B,A,B,B,A
study 93,A,2.6066868606769766,3.5766426810489955,1.3311325469834243,5.3172219030077965,5.126959667814821,B,B,B,A,B
study 18,B,-0.09223516410168053,3.2311389559719594,1.4545402900584918,3.63044221237997,4.342078218160624,C,B,A,A,A
study 110,A,0.7737465690901663,3.59617127500207,1.7029167982213675,4.887653235336818,2.286009510707987,B,B,A,B,B
study 82,A,0.6445012434097598,1.8509295048103653,1.1848939198481954,5.295055692760507,5.302100139902258,C,B,A,A,B
study 66,A,1.5269332141368124,1.4819102679949292,5.6570834615835235,4.503289338437069,7.443957324356471,A,A,B,A,A
study 54,A,3.5348401849394344,1.5876518631715757,3.7368044077515017,3.691802470556912,4.828030229733279,C,A,A,C,B
study 35,B,2.7396868679339583,2.3994255956729456,4.596724130412852,4.571751561235901,4.130704133635876,B,A,B,A,B
study 80,B,0.43462866187915594,-0.7131205234633784,3.843552437425017,2.441370035605937,4.9092589396347215,A,B,B,A,A
study 61,A,1.8136957922503554,3.9976354555918303,3.09184141270526,4.1066583539408885,3.343430233155322,B,B,B,A,A
study 41,A,2.881535302859069,2.0658100397434622,3.112132985048448,3.6503106165606147,3.246651306055777,C,B,A,A,A
study 100,B,1.6125177465921672,1.377497626497321,2.403731041635207,3.4152015643097977,5.677121132141955,A,B,A,A,A
study 33,A,0.9929508933397413,-1.794574315908191,2.5263264353397443,1.4102184822048542,6.485482293548499,A,B,A,B,B
study 68,A,1.6690001420007787,1.944779740732576,0.8878449392806624,2.4586033728813566,4.7793524717083695,C,A,B,A,A
study 33,B,-0.05490728384520982,1.7022852273863665,4.622739226560395,3.2711577638119276,2.0393524285763496,C,A,A,A,A
study 14,B,0.1640783138438784,0.6544303540321175,0.2801500709954321,5.342558770958135,5.530023389803626,A,A,A,B,A
study 21,B,-0.5960513528016462,0.9904297323094817,1.4120841142062013,4.4287352356059815,8.101073255506172,A,B,B,B,B
study 48,B,1.4605967748553648,1.9600450333322548,6.018051196440916,5.409511372041853,4.634152754827573,C,B,B,A,B
study 20,A,0.8028956409666428,1.1176453106184754,3.20425932459724,5.864370073600195,4.733231336894866,B,B,A,A,B
study 120,B,-0.2346770920221195,2.8578170992675336,3.266565667545298,4.493963717874243,3.6910497048290924,A,B,B,A,B
study 8,A,0.7537308825692424,0.8768246170339755,3.9560078216515935,4.210440116020445,5.722030996840115,C,B,A,C,B
study 7,A,1.704997391144755,2.231912644281167,0.6894937603179065,2.5405090049721846,3.9935248032580812,B,B,B,C,A
study 67,A,3.872068458996988,3.770068053216755,0.9093099502949649,6.980006896859964,6.5322528465028915,A,B,B,A,B
study 17,A,2.5181017970557873,1.945106206156173,2.33265848017673,1.873233892434714,4.013629180272266,A,A,A,B,B
study 33,B,-2.4262217862235103,2.5339656859396182,1.6449585636784647,4.178101132312743,5.512687202178446,C,A,B,A,B
study 48,A,1.3589627002305185,2.438977081100897,2.8875660524858993,5.249198505318073,4.930483630910659,B,B,B,B,A
study 76,A,3.143986394069282,2.0119953494258986,3.728323942953204,5.270106366297007,7.33266742896395,A,B,B,B,A
study 59,A,-1.0068102368153489,1.8994892870847346,5.083744571805894,2.2673663643410147,5.614219079297072,B,B,A,B,B
study 115,A,1.8273389053186357,1.142938667825132,4.216632509684386,3.3701454956986145,7.080510978687382,B,A,B,A,A
study 86,B,0.6450367217034311,2.226518435836729,1.5085849324665683,2.8015678418235046,5.16293525116575,A,A,B,A,B
study 119,A,2.7254357963742413,1.5750987367407991,2.4375538830783103,1.0293486556509692,4.7438895492285775,B,B,A,B,A
study 22,B,1.6063857925201783,4.31913525235206,2.029582243125578,4.195490112617442,4.942713845697162,A,A,A,C,A
study 110,A,-0.3260231818388095,3.216714888664867,1.4751586814814757,2.9235769056400343,3.8428861979342113,B,A,B,C,B
study 30,A,0.6987227825640706,-0.17919384383251913,1.1337373309832515,6.258223427067018,5.797503175555808,A,A,B,C,A
study 38,B,0.7874564859285652,-0.09573699732711649,5.496468581586811,4.922761657283008,3.96446248879477,C,B,B,B,B
study 102,A,0.8152326777849261,1.8043101964409525,3.0159633648489748,4.06210292532116,5.168694562276774,A,A,A,A,B
study 109,B,2.678894417162894,1.4070417838403806,2.663654690092878,3.2909507014436965,6.282802949695868,A,A,B,B,B
study 51,A,-0.2639298820853453,1.725209122667112,3.7263863498914525,4.172674104678512,7.375323364665408,A,B,A,C,A
study 54,A,2.5045769644917755,2.9767421909784697,3.8006191556123596,3.61618927612633,5.244290125797485,B,B,A,A,A
study 8,B,0.5466254861177198,2.4736038483160354,4.6782384805596315,4.104308663339663,6.291810584099048,C,A,B,B,B
study 27,A,1.3352666594937475,2.4584438456872317,1.8845075799498519,6.8524536562479526,6.112831625571221,B,B,B,B,B
study 27,A,1.108566379421551,4.16929199824309,3.6040833253092304,2.4028657669784836,4.426434363768537,B,A,A,C,A
study 98,B,0.967291992877248,-0.08333733125961906,1.633239035473757,3.7470371970275895,8.161705181636266,A,A,B,B,B
study 21,A,0.9795957483320166,2.155908251223349,2.7147630843919077,5.059582600453336,4.135636695681585,B,B,B,A,A
study 30,B,3.1860378374065315,1.131421178079119,3.085113850743081,3.399788737321263,5.136491939224348,A,B,A,C,A
study 97,A,2.2636748873592167,4.153153678759028,3.231725993578592,6.370812760912554,7.181179630097642,C,A,B,C,A
study 28,B,0.4559264656301052,-1.314027408735016,3.165481658770786,5.017688729517758,7.144187364198235,B,B,A,A,B
study 111,B,3.374180881183137,-1.2482223785695021,4.202746473817379,2.921664377245565,5.021480597053492,B,B,B,C,B
study 64,B,1.4120216109892791,2.456954444522076,2.104517413536342,4.306103053412474,6.4856251217609415,B,A,A,B,A
study 97,B,1.5364363889858415,3.6894448389862204,3.2725114093552072,2.943086898718298,4.664041495334667,A,A,A,B,B
study 69,A,-0.2559786189970872,3.1598814819755754,1.8616427407194,2.805012528468858,4.2669816645514125,A,A,B,C,B
study 61,B,0.25375201239228984,0.7985288100234373,7.381128848828822,3.7897030304356285,3.1808163903223403,B,A,A,A,A
study 48,A,-0.03275526189076339,4.25963258300237,1.6307035233545553,5.895641742852671,6.085822048218921,B,A,A,B,A
study 19,A,1.1291092974905124,0.1527968771086874,1.949021018483168,5.118167559677075,6.243831396902684,C,A,B,A,B
study 4,A,1.958174619172314,3.9612262843150168,4.3239721155196795,3.966133590254116,4.148166056666508,C,B,B,B,A
study 35,A,1.55084844913332,0.35115762446278453,2.3558022847482625,5.171779292203588,5.402150050977852,C,B,B,B,B
study 64,A,3.3820662341043723,1.4722637414941673,4.324569191551544,4.402928065623743,8.976482641807902,C,A,A,C,A
study 49,B,-0.3316370078168527,2.958904306785376,3.2295338905888276,2.2451604615620684,6.720023450176047,C,B,A,C,A
study 17,B,1.1723035653083231,-0.19931174634424753,2.3952161001693146,3.7822935712175347,3.647774086131708,A,B,A,A,B
study 44,B,-0.924408993947442,4.2035350963111515,1.870866976312834,3.8902606060278018,6.502343419645082,C,A,B,C,B
study 92,A,-0.3828064574048933,1.4630842528980286,1.816745157544691,5.142535505388944,3.654707328123979,C,B,A,B,B
study 30,B,2.8968675660076952,2.205914203517434,2.4115184962308867,3.150294249096855,0.657172532217972,B,B,A,B,B
study 93,A,0.3052527002928014,3.7433011835611283,2.738405522482803,2.631003136508844,4.969381785100807,A,A,B,A,B
study 46,A,-0.2050456940904064,0.810311982249275,1.7521781348641885,3.9316795648197895,7.344802189389478,C,B,A,A,A
study 117,A,-2.1949653133744205,3.591220529383084,2.836151354720183,3.031863244008171,7.096171940655412,C,B,B,B,A
study 6,A,-0.2200319716833763,4.460800356338555,1.3588270609979887,3.5147361706245457,5.565852753638982,C,A,B,C,B
study 99,B,0.6920795887075317,1.0166315040056315,4.133851824894528,3.8786806406633105,4.187405880125159,B,B,B,C,A
study 105,A,-1.0361044396793164,4.054081508894441,4.421043599189947,3.425433754413317,5.72967452586897,B,B,A,A,B
study 37,A,0.605824916526297,-0.6408678913624044,1.9435122146872033,5.444774114279225,4.596259744533634,B,B,A,A,A
study 24,A,2.905946590987335,2.5844005921918507,1.8597404173271694,6.121442659006632,4.229516462046034,C,A,A,B,A
study 93,A,-0.06095801049249916,0.15710222644428695,3.2668752105148084,5.294366114437321,6.593003303458357,B,A,B,B,B
study 113,A,-0.41507457405490356,3.4138528228042837,4.898049139547347,1.3432042522677046,4.21094633043411,C,B,B,A,B
study 46,B,-0.6858522002976395,3.2906840726333053,5.229995496379761,3.0370395065472486,6.690854834714115,A,B,B,B,B
study 53,A,-0.7126461387737002,5.116069993386865,0.8958859151455991,3.732021821451707,4.111721057054281,C,A,A,A,A
study 95,A,1.8033661703326436,4.131924474428748,4.509457244477286,1.2305901109748856,8.087737932234333,B,A,A,A,B
study 99,A,1.0730031053245759,1.7513432035978176,2.907669993097208,2.686162424276079,2.539048339572321,A,B,A,C,B
study 60,B,2.435285318913361,0.3773787690517394,2.936715449309198,3.7128550461511747,3.564846002443148,C,A,A,A,B
study 97,B,4.029756837481383,2.848530619504085,3.757068548475841,3.3265388783064074,4.766948398714516,A,B,A,B,B
study 116,B,-1.7455866978637218,1.9089028844217601,2.2785637943758283,4.0129752659633775,2.0239341452179054,A,B,B,C,B
study 63,B,1.5701180626626599,4.326732566893556,4.645050948162457,1.928757458084569,1.143520785867251,A,A,A,C,B
study 85,A,-0.6779290016503396,-1.2495712651236675,5.135943407654711,3.3095764739247455,2.0368885746340872,C,A,B,B,A
study 32,A,2.183348947050176,5.28208513893294,5.191926416302856,4.227864626089869,4.561866184533488,B,B,B,B,A
study 87,B,0.5921319983898456,2.7979859114177055,0.23412781760208023,4.015302207137305,4.599934985173831,C,B,A,B,A
study 33,B,1.0409841412962602,0.7804818174194414,2.655514096907355,4.670340366471824,5.499499221849298,B,A,B,A,A
study 67,B,-0.924766141894712,3.1009838411278494,0.09715412278836366,4.5828615429963,4.704497777335487,C,B,A,C,B
study 18,B,0.36035946233024885,3.9461321319345557,1.852079907084987,3.389339546868753,5.449274696766274,C,A,A,A,B
study 25,B,1.1344933766623893,2.171520336955533,-0.5962483066944868,4.180178324612683,4.324675378342397,C,A,B,A,A
study 106,B,3.0341172202100624,-0.6473805762172642,3.67539995195923,2.800010357957445,6.0722236362075215,B,A,A,A,A
study 95,B,-0.19184079111283148,1.5592294454793412,3.3289644533702614,3.594657521459068,5.891465004760283,C,A,A,A,A
study 54,B,0.17396264270453043,3.559092579563207,2.3510983401648513,2.416573792075441,4.509961070213722,A,A,B,C,B
study 58,B,2.416434463273422,2.744997101341062,1.8132778341745477,5.598136648414387,5.799517152008586,C,B,B,C,B
study 67,B,-0.28901042554896605,1.765239453746941,3.471047436530505,3.5897585492039017,4.7140310960769956,A,A,B,A,B
